PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANNO,MES,MEDIA_MAGS
8,54,1,17,8054001,2015,5,0.5875
43,47,1,17,43047001,2015,5,0.57
8,102,5,17,8102005,2015,5,0.6325000000000001
25,120,1,17,25120001,2015,5,0.6725
8,112,3,17,8112003,2015,5,0.63
8,125,12,17,8125012,2015,5,0.5650000000000001
8,169,8,17,8169008,2015,5,0.882
43,123,5,17,43123005,2015,5,0.5549999999999999
8,196,1,17,8196001,2015,5,0.7300000000000001
8,211,3,17,8211003,2015,5,0.93
8,263,6,17,8263006,2015,5,1.9074999999999998
43,44,3,17,43044003,2015,5,0.55
8,274,4,17,8274004,2015,5,0.5875
8,282,1,17,8282001,2015,5,0.56
8,307,6,17,8307006,2015,5,0.55
43,171,1,17,43171001,2015,5,0.68
8,19,28,17,8019028,2015,6,1.0
8,19,45,17,8019045,2015,6,1.0
8,19,54,17,8019054,2015,6,1.0
8,19,55,17,8019055,2015,6,1.0
8,19,4,17,8019004,2015,6,1.0
8,19,42,17,8019042,2015,6,1.0
8,19,43,17,8019043,2015,6,1.0
8,19,44,17,8019044,2015,6,1.0
8,19,53,17,8019053,2015,6,1.0
25,51,1,17,25051001,2015,6,0.538
8,22,6,17,8022006,2015,6,0.56
17,22,2,17,17022002,2015,6,0.56
17,27,2,17,17027002,2015,6,0.5674999999999999
8,54,1,17,8054001,2015,6,0.5525
43,47,1,17,43047001,2015,6,0.57
8,102,5,17,8102005,2015,6,0.5519999999999999
25,120,1,17,25120001,2015,6,0.56
8,112,3,17,8112003,2015,6,0.592
8,125,12,17,8125012,2015,6,0.6775
8,169,8,17,8169008,2015,6,1.745
43,123,5,17,43123005,2015,6,0.55
8,196,1,17,8196001,2015,6,1.23
8,211,3,17,8211003,2015,6,0.9800000000000001
8,263,6,17,8263006,2015,6,1.3825
43,44,3,17,43044003,2015,6,0.55
8,274,4,17,8274004,2015,6,0.5800000000000001
8,282,1,17,8282001,2015,6,0.6025
8,307,6,17,8307006,2015,6,0.5700000000000001
43,171,1,17,43171001,2015,6,0.554
8,19,28,17,8019028,2015,7,1.0
8,19,45,17,8019045,2015,7,1.0
8,19,54,17,8019054,2015,7,1.0
8,19,55,17,8019055,2015,7,1.0
8,19,4,17,8019004,2015,7,1.0
8,19,42,17,8019042,2015,7,1.0
8,19,43,17,8019043,2015,7,1.0
8,19,44,17,8019044,2015,7,1.0
8,19,53,17,8019053,2015,7,1.0
25,51,1,17,25051001,2015,7,0.5575000000000001
8,22,6,17,8022006,2015,7,0.56
17,22,2,17,17022002,2015,7,0.562
17,27,2,17,17027002,2015,7,0.5625
8,54,1,17,8054001,2015,7,0.5820000000000001
43,47,1,17,43047001,2015,7,0.5625
8,102,5,17,8102005,2015,7,0.5549999999999999
25,120,1,17,25120001,2015,7,0.7033333333333333
8,112,3,17,8112003,2015,7,0.56
8,125,12,17,8125012,2015,7,0.5880000000000001
8,169,8,17,8169008,2015,7,0.9725
43,123,5,17,43123005,2015,7,0.55
8,196,1,17,8196001,2015,7,0.8480000000000001
8,211,3,17,8211003,2015,7,0.8560000000000001
8,263,6,17,8263006,2015,7,0.8320000000000001
43,44,3,17,43044003,2015,7,0.55
8,274,4,17,8274004,2015,7,0.6175
8,282,1,17,8282001,2015,7,0.5680000000000001
8,307,6,17,8307006,2015,7,0.556
43,171,1,17,43171001,2015,7,0.6066666666666668
33,36,999,17,33036999,2015,6,0.16
33,36,999,17,33036999,2015,7,0.152
33,36,999,17,33036999,2015,8,0.174
8,19,28,17,8019028,2015,1,1.0
8,19,45,17,8019045,2015,1,1.0
8,19,54,17,8019054,2015,1,1.0
8,19,55,17,8019055,2015,1,1.0
8,19,4,17,8019004,2015,1,1.0
8,19,42,17,8019042,2015,1,1.0
8,19,43,17,8019043,2015,1,1.0
8,19,44,17,8019044,2015,1,1.0
8,19,53,17,8019053,2015,1,1.0
25,51,1,17,25051001,2015,1,0.552
8,22,6,17,8022006,2015,1,0.56
17,22,2,17,17022002,2015,1,0.56
17,27,2,17,17027002,2015,1,0.5940000000000001
8,54,1,17,8054001,2015,1,0.5519999999999999
43,47,1,17,43047001,2015,1,0.5759999999999998
8,102,5,17,8102005,2015,1,0.722
25,120,1,17,25120001,2015,1,0.8300000000000001
8,112,3,17,8112003,2015,1,0.8099999999999999
8,125,12,17,8125012,2015,1,0.6599999999999999
8,169,8,17,8169008,2015,1,1.3060000000000003
43,123,5,17,43123005,2015,1,0.57
8,196,1,17,8196001,2015,1,0.836
8,211,3,17,8211003,2015,1,1.3359999999999999
8,263,6,17,8263006,2015,1,2.666
43,44,3,17,43044003,2015,1,0.55
8,274,4,17,8274004,2015,1,0.5720000000000001
8,282,1,17,8282001,2015,1,0.5860000000000001
8,307,6,17,8307006,2015,1,0.612
43,171,1,17,43171001,2015,1,0.5880000000000001
8,19,28,17,8019028,2015,2,1.0
8,19,45,17,8019045,2015,2,1.0
8,19,54,17,8019054,2015,2,1.0
8,19,55,17,8019055,2015,2,1.0
8,19,4,17,8019004,2015,2,1.0
8,19,42,17,8019042,2015,2,1.0
8,19,43,17,8019043,2015,2,1.0
8,19,44,17,8019044,2015,2,1.0
8,19,53,17,8019053,2015,2,1.0071428571428571
25,51,1,17,25051001,2015,2,0.5575000000000001
8,22,6,17,8022006,2015,2,0.56
17,22,2,17,17022002,2015,2,0.782
17,27,2,17,17027002,2015,2,0.58
8,54,1,17,8054001,2015,2,0.6499999999999999
43,47,1,17,43047001,2015,2,0.5925
8,102,5,17,8102005,2015,2,0.8775
25,120,1,17,25120001,2015,2,0.6975000000000001
8,112,3,17,8112003,2015,2,0.6275000000000001
8,125,12,17,8125012,2015,2,0.6400000000000001
8,169,8,17,8169008,2015,2,1.1525
43,123,5,17,43123005,2015,2,0.625
8,196,1,17,8196001,2015,2,1.0479999999999998
8,211,3,17,8211003,2015,2,1.44
8,263,6,17,8263006,2015,2,1.0975000000000001
43,44,3,17,43044003,2015,2,0.5525
8,274,4,17,8274004,2015,2,0.545
8,282,1,17,8282001,2015,2,0.5675
8,307,6,17,8307006,2015,2,0.625
43,171,1,17,43171001,2015,2,0.7539999999999999
8,19,28,17,8019028,2015,8,1.0
8,19,45,17,8019045,2015,8,1.0
8,19,54,17,8019054,2015,8,1.0
8,19,55,17,8019055,2015,8,1.0
8,19,4,17,8019004,2015,8,1.0
8,19,42,17,8019042,2015,8,1.0
8,19,43,17,8019043,2015,8,1.0
8,19,44,17,8019044,2015,8,1.0
8,19,53,17,8019053,2015,8,1.0
25,51,1,17,25051001,2015,8,0.54
8,22,6,17,8022006,2015,8,0.56
17,22,2,17,17022002,2015,8,0.56
17,27,2,17,17027002,2015,8,0.5700000000000001
8,54,1,17,8054001,2015,8,0.6975
43,47,1,17,43047001,2015,8,0.56
8,102,5,17,8102005,2015,8,0.5575
25,120,1,17,25120001,2015,8,0.56
8,112,3,17,8112003,2015,8,0.56
8,125,12,17,8125012,2015,8,0.55
8,169,8,17,8169008,2015,8,0.9
43,123,5,17,43123005,2015,8,0.554
8,196,1,17,8196001,2015,8,0.5975
8,211,3,17,8211003,2015,8,0.8525
8,263,6,17,8263006,2015,8,0.985
43,44,3,17,43044003,2015,8,0.632
8,274,4,17,8274004,2015,8,0.55
8,282,1,17,8282001,2015,8,0.56
8,307,6,17,8307006,2015,8,0.562
43,171,1,17,43171001,2015,8,0.5519999999999999
8,19,28,17,8019028,2015,9,1.0
8,19,45,17,8019045,2015,9,1.0
8,19,54,17,8019054,2015,9,1.0
8,19,55,17,8019055,2015,9,1.0
8,19,4,17,8019004,2015,9,1.0
8,19,42,17,8019042,2015,9,1.0
8,19,43,17,8019043,2015,9,1.0
8,19,44,17,8019044,2015,9,1.0
8,19,53,17,8019053,2015,9,1.0
25,51,1,17,25051001,2015,9,0.592
8,22,6,17,8022006,2015,9,0.65
17,22,2,17,17022002,2015,9,0.7325
17,27,2,17,17027002,2015,9,0.5666666666666665
8,54,1,17,8054001,2015,9,0.682
43,47,1,17,43047001,2015,9,0.6199999999999999
8,102,5,17,8102005,2015,9,1.316
25,120,1,17,25120001,2015,9,0.56
8,112,3,17,8112003,2015,9,0.6975
8,125,12,17,8125012,2015,9,0.8525
8,169,8,17,8169008,2015,9,0.9275
43,123,5,17,43123005,2015,9,0.86
8,196,1,17,8196001,2015,9,2.584
8,211,3,17,8211003,2015,9,1.5525
8,263,6,17,8263006,2015,9,2.3240000000000003
43,44,3,17,43044003,2015,9,0.55
8,274,4,17,8274004,2015,9,0.6575
8,282,1,17,8282001,2015,9,0.5800000000000001
8,307,6,17,8307006,2015,9,0.89
43,171,1,17,43171001,2015,9,0.7179999999999999
8,19,28,17,8019028,2015,10,1.0
8,19,45,17,8019045,2015,10,1.0
8,19,54,17,8019054,2015,10,1.0
8,19,55,17,8019055,2015,10,1.0
8,19,4,17,8019004,2015,10,1.0
8,19,42,17,8019042,2015,10,1.0
8,19,43,17,8019043,2015,10,1.0
8,19,44,17,8019044,2015,10,1.0
8,19,53,17,8019053,2015,10,1.0
25,51,1,17,25051001,2015,10,0.5425
8,22,6,17,8022006,2015,10,0.6140000000000001
17,22,2,17,17022002,2015,10,0.56
17,27,2,17,17027002,2015,10,0.575
8,54,1,17,8054001,2015,10,0.685
43,47,1,17,43047001,2015,10,0.57
8,102,5,17,8102005,2015,10,0.6399999999999999
25,120,1,17,25120001,2015,10,0.584
8,112,3,17,8112003,2015,10,0.742
8,125,12,17,8125012,2015,10,0.6724999999999999
8,169,8,17,8169008,2015,10,1.1125
43,123,5,17,43123005,2015,10,0.8775
8,196,1,17,8196001,2015,10,1.4300000000000002
8,211,3,17,8211003,2015,10,1.2579999999999998
8,263,6,17,8263006,2015,10,1.3875000000000002
43,44,3,17,43044003,2015,10,0.55
8,274,4,17,8274004,2015,10,0.5750000000000001
8,282,1,17,8282001,2015,10,1.81
8,307,6,17,8307006,2015,10,0.6100000000000001
43,171,1,17,43171001,2015,10,0.6425
33,24,25,17,33024025,2015,1,1.1
33,24,25,17,33024025,2015,2,0.6666666666666666
33,24,25,17,33024025,2015,3,0.638
33,24,25,17,33024025,2015,4,0.44800000000000006
33,24,25,17,33024025,2015,5,0.4
33,24,25,17,33024025,2015,6,0.4
33,24,25,17,33024025,2015,7,0.392
33,24,25,17,33024025,2015,8,0.405
33,24,25,17,33024025,2015,9,0.4
33,24,25,17,33024025,2015,10,0.43333333333333335
33,24,25,17,33024025,2015,12,0.9325000000000001
33,24,25,17,33024025,2015,11,1.3933333333333333
46,131,2,17,46131002,2015,3,0.2292857142857143
3,65,6,17,3065006,2015,3,0.33499999999999996
12,135,4,17,12135004,2015,3,1.3985714285714288
46,17,2,17,46017002,2015,3,0.24454545454545454
12,124,1,17,12124001,2015,3,0.4771428571428572
12,40,15,17,12040015,2015,3,0.5809090909090909
12,46,1,17,12046001,2015,3,0.315
3,9,6,17,3009006,2015,3,0.14
46,190,5,17,46190005,2015,3,0.2566666666666667
12,32,5,17,12032005,2015,3,1.1150000000000002
12,5,4,17,12005004,2015,3,1.8010000000000006
46,250,43,17,46250043,2015,3,0.44800000000000006
3,14,6,17,3014006,2015,3,0.24538461538461537
3,2,2,17,3002002,2015,3,1.136666666666667
3,65,7,17,3065007,2015,3,0.17555555555555558
46,250,50,17,46250050,2015,3,0.40846153846153843
12,80,7,17,12080007,2015,3,0.07777777777777778
12,135,4,17,12135004,2015,4,0.7033333333333333
12,99,1,17,12099001,2015,4,0.15272727272727274
46,250,43,17,46250043,2015,4,0.36357142857142855
3,105,1,17,3105001,2015,4,0.11846153846153847
3,9,6,17,3009006,2015,4,0.13545454545454544
3,14,6,17,3014006,2015,4,0.1938461538461539
12,5,4,17,12005004,2015,4,0.6970000000000001
46,17,2,17,46017002,2015,4,0.24153846153846154
46,220,9,17,46220009,2015,4,0.29083333333333333
46,78,4,17,46078004,2015,4,0.2566666666666667
12,40,15,17,12040015,2015,4,0.40692307692307694
46,250,50,17,46250050,2015,4,0.599
46,131,2,17,46131002,2015,4,0.16384615384615384
3,65,6,17,3065006,2015,4,0.17461538461538462
46,190,5,17,46190005,2015,4,0.24500000000000002
12,124,1,17,12124001,2015,4,0.295
3,2,2,17,3002002,2015,4,0.19
12,84,3,17,12084003,2015,4,0.43923076923076915
12,46,1,17,12046001,2015,4,0.32222222222222224
3,65,7,17,3065007,2015,4,0.2
12,80,7,17,12080007,2015,4,0.10769230769230773
46,250,43,17,46250043,2015,5,0.29769230769230776
3,105,1,17,3105001,2015,5,0.1630769230769231
12,5,4,17,12005004,2015,5,0.788
3,2,2,17,3002002,2015,5,0.19375
12,40,15,17,12040015,2015,5,0.38357142857142856
46,131,2,17,46131002,2015,5,0.2
12,84,3,17,12084003,2015,5,0.5325
12,99,1,17,12099001,2015,5,0.18555555555555558
12,80,7,17,12080007,2015,5,0.1625
12,135,4,17,12135004,2015,5,0.7525
46,190,5,17,46190005,2015,5,0.3077777777777777
3,14,6,17,3014006,2015,5,0.21615384615384617
12,124,1,17,12124001,2015,5,0.31777777777777777
3,133,2,17,3133002,2015,5,0.18416666666666667
12,46,1,17,12046001,2015,5,0.35600000000000004
46,250,50,17,46250050,2015,5,0.6033333333333334
3,65,7,17,3065007,2015,5,0.15875
3,65,6,17,3065006,2015,5,0.14833333333333334
46,242,1,17,46242001,2015,5,0.21384615384615385
3,9,6,17,3009006,2015,5,0.17083333333333336
46,220,9,17,46220009,2015,5,0.26866666666666666
46,17,2,17,46017002,2015,5,0.27999999999999997
12,32,5,17,12032005,2015,5,0.8859999999999999
46,78,4,17,46078004,2015,5,0.2438461538461539
3,9,6,17,3009006,2015,6,0.11333333333333334
46,190,5,17,46190005,2015,6,0.22545454545454546
3,14,6,17,3014006,2015,6,0.18454545454545454
12,99,1,17,12099001,2015,6,0.1516666666666667
12,40,15,17,12040015,2015,6,0.43
12,84,3,17,12084003,2015,6,0.46249999999999997
3,65,7,17,3065007,2015,6,0.20125
12,80,7,17,12080007,2015,6,0.14
12,5,4,17,12005004,2015,6,0.7577777777777778
12,135,4,17,12135004,2015,6,0.7144444444444445
46,78,4,17,46078004,2015,6,0.23400000000000004
46,250,50,17,46250050,2015,6,0.3985714285714286
3,65,6,17,3065006,2015,6,0.154
46,220,9,17,46220009,2015,6,0.2775
12,124,1,17,12124001,2015,6,0.43000000000000005
46,242,1,17,46242001,2015,6,0.28
3,2,2,17,3002002,2015,6,0.14125000000000001
46,131,2,17,46131002,2015,6,0.1566666666666667
12,32,5,17,12032005,2015,6,1.0414285714285716
46,17,2,17,46017002,2015,6,0.2866666666666667
46,250,43,17,46250043,2015,6,0.33428571428571424
12,46,1,17,12046001,2015,6,0.4075
3,105,1,17,3105001,2015,6,0.1123076923076923
12,80,7,17,12080007,2015,7,0.18333333333333338
3,65,6,17,3065006,2015,7,0.22533333333333333
12,135,4,17,12135004,2015,7,0.7483333333333334
46,190,5,17,46190005,2015,7,2.905
46,220,9,17,46220009,2015,7,0.33999999999999997
3,2,2,17,3002002,2015,7,0.2588888888888889
3,9,6,17,3009006,2015,7,0.22333333333333336
46,250,43,17,46250043,2015,7,0.272
3,133,2,17,3133002,2015,7,0.22999999999999998
12,99,1,17,12099001,2015,7,0.193
12,124,1,17,12124001,2015,7,0.34125000000000005
46,78,4,17,46078004,2015,7,0.30230769230769233
12,40,15,17,12040015,2015,7,0.40800000000000003
12,84,3,17,12084003,2015,7,0.6950000000000002
12,46,1,17,12046001,2015,7,0.47250000000000003
3,65,7,17,3065007,2015,7,0.21500000000000002
3,14,6,17,3014006,2015,7,0.2492307692307692
12,32,5,17,12032005,2015,7,0.8171428571428571
46,131,2,17,46131002,2015,7,0.21399999999999997
12,5,4,17,12005004,2015,7,1.0637500000000002
46,17,2,17,46017002,2015,7,0.388
3,105,1,17,3105001,2015,7,0.2207142857142857
46,250,50,17,46250050,2015,7,0.33599999999999997
3,9,6,17,3009006,2015,8,0.21153846153846154
46,250,43,17,46250043,2015,8,0.193
46,190,5,17,46190005,2015,8,0.17
12,124,1,17,12124001,2015,8,0.38666666666666666
46,78,4,17,46078004,2015,8,0.2
12,40,15,17,12040015,2015,8,0.23636363636363641
46,131,2,17,46131002,2015,8,0.21750000000000003
46,242,1,17,46242001,2015,8,0.3529999999999999
46,220,9,17,46220009,2015,8,0.22363636363636366
3,133,2,17,3133002,2015,8,0.25
3,65,7,17,3065007,2015,8,0.3114285714285714
46,250,50,17,46250050,2015,8,2.5200000000000005
3,65,6,17,3065006,2015,8,0.26500000000000007
12,99,1,17,12099001,2015,8,0.194
12,5,4,17,12005004,2015,8,0.5055555555555556
12,135,4,17,12135004,2015,8,0.5942857142857143
46,17,2,17,46017002,2015,8,0.35333333333333333
3,2,2,17,3002002,2015,8,0.31
12,46,1,17,12046001,2015,8,0.26181818181818184
12,80,7,17,12080007,2015,8,0.138
3,14,6,17,3014006,2015,8,0.23083333333333336
12,84,3,17,12084003,2015,8,0.3609090909090909
3,105,1,17,3105001,2015,8,0.22357142857142856
3,2,2,17,3002002,2015,9,0.20875
12,84,3,17,12084003,2015,9,0.4123076923076923
12,99,1,17,12099001,2015,9,0.1515384615384616
46,250,50,17,46250050,2015,9,6.217142857142858
12,80,7,17,12080007,2015,9,0.12000000000000001
3,65,6,17,3065006,2015,9,0.23499999999999996
3,14,6,17,3014006,2015,9,0.18923076923076923
46,78,4,17,46078004,2015,9,0.23307692307692313
46,220,9,17,46220009,2015,9,0.21833333333333335
12,124,1,17,12124001,2015,9,0.23222222222222225
3,9,6,17,3009006,2015,9,0.16769230769230767
46,190,5,17,46190005,2015,9,0.24000000000000005
12,40,15,17,12040015,2015,9,0.5375
3,65,7,17,3065007,2015,9,0.24874999999999997
12,32,5,17,12032005,2015,9,1.16
3,105,1,17,3105001,2015,9,0.12416666666666669
12,5,4,17,12005004,2015,9,0.5122222222222222
12,135,4,17,12135004,2015,9,0.618
46,17,2,17,46017002,2015,9,0.38833333333333325
46,250,43,17,46250043,2015,9,0.32333333333333336
12,46,1,17,12046001,2015,9,0.24375000000000002
46,131,2,17,46131002,2015,9,0.1684615384615385
46,220,9,17,46220009,2015,10,0.26
3,133,2,17,3133002,2015,10,0.21
12,135,4,17,12135004,2015,10,1.5285714285714287
3,9,6,17,3009006,2015,10,0.1938461538461538
46,78,4,17,46078004,2015,10,0.27636363636363637
46,250,50,17,46250050,2015,10,0.39666666666666667
46,250,43,17,46250043,2015,10,0.3
46,190,5,17,46190005,2015,10,0.25857142857142856
12,124,1,17,12124001,2015,10,0.3877777777777778
3,2,2,17,3002002,2015,10,0.18
12,46,1,17,12046001,2015,10,0.26375000000000004
46,131,2,17,46131002,2015,10,0.27599999999999997
12,32,5,17,12032005,2015,10,1.5266666666666664
3,65,6,17,3065006,2015,10,0.2793333333333334
