MES,MAGNITUD,ANNO,PROVINCIA,MEDIA_VAL
1,9,2017,1,14.735256410256412
2,9,2017,1,8.185714285714287
3,9,2017,1,7.145721583652619
4,9,2017,1,8.457777777777778
5,9,2017,1,6.786148007590133
6,9,2017,1,8.528381962864723
7,9,2017,1,6.878571428571429
8,9,2017,1,6.2011639341619516
9,9,2017,1,6.890842911877395
10,9,2017,1,8.783870967741937
11,9,2017,1,7.949166666666666
12,9,2017,1,5.765975422427036
1,10,2017,1,14.486294803918355
2,10,2017,1,14.483939696106361
3,10,2017,1,13.740970798157354
4,10,2017,1,15.17320197044335
5,10,2017,1,13.760492848165658
6,10,2017,1,16.343095238095238
7,10,2017,1,14.009817009240972
8,10,2017,1,14.40589093701997
9,10,2017,1,13.786106028618345
10,10,2017,1,17.344761904761903
11,10,2017,1,14.854723199624676
12,10,2017,1,9.86704959403116
1,17,2017,1,0.4451612903225806
2,17,2017,1,0.30714285714285705
3,17,2017,1,0.36129032258064503
4,17,2017,1,0.30333333333333334
5,17,2017,1,0.2700000000000001
6,17,2017,1,0.276923076923077
7,17,2017,1,0.3466666666666666
8,17,2017,1,0.20000000000000007
9,17,2017,1,0.3551724137931033
10,17,2017,1,0.4821428571428571
11,17,2017,1,0.6499999999999999
12,17,2017,1,0.22352941176470592
1,27,2017,1,0.3666666666666667
2,27,2017,1,0.17500000000000002
3,27,2017,1,0.1375
4,27,2017,1,0.1
5,27,2017,1,0.1
6,27,2017,1,0.1
7,27,2017,1,0.1
8,27,2017,1,0.09999999999999999
9,27,2017,1,0.1
10,27,2017,1,0.1125
11,27,2017,1,0.3
12,27,2017,1,0.15
1,28,2017,1,0.2838709677419354
2,28,2017,1,0.20000000000000004
3,28,2017,1,0.25161290322580654
4,28,2017,1,0.20000000000000007
5,28,2017,1,0.20000000000000007
6,28,2017,1,0.21153846153846162
7,28,2017,1,0.2133333333333334
8,28,2017,1,0.20000000000000007
9,28,2017,1,0.20000000000000007
10,28,2017,1,0.2535714285714286
11,28,2017,1,0.240909090909091
12,28,2017,1,0.20000000000000007
1,62,2017,1,3.3870967741935485
2,62,2017,1,2.107142857142857
3,62,2017,1,2.903225806451613
4,62,2017,1,2.1
5,62,2017,1,2.2333333333333334
6,62,2017,1,2.6153846153846154
7,62,2017,1,3.033333333333333
8,62,2017,1,2.0
9,62,2017,1,4.0344827586206895
10,62,2017,1,3.9642857142857144
11,62,2017,1,4.2727272727272725
12,62,2017,1,2.823529411764706
1,9,2018,1,5.988687430478309
2,9,2018,1,6.097859856193189
3,9,2018,1,4.400322580645161
4,9,2018,1,7.518888888888888
5,9,2018,1,8.424731182795698
6,9,2018,1,8.231349206349206
7,9,2018,1,10.146594982078852
8,9,2018,1,8.611827956989247
9,9,2018,1,9.836904761904762
10,9,2018,1,7.780541770057899
11,9,2018,1,5.971111111111111
12,9,2018,1,7.110144605116798
1,10,2018,1,10.937167105131511
2,10,2018,1,9.988816326530612
3,10,2018,1,7.804193173271514
4,10,2018,1,15.414029304029304
5,10,2018,1,15.127649769585256
6,10,2018,1,14.564532019704432
7,10,2018,1,17.176871504997994
