MES,MAGNITUD,ANNO,PROVINCIA,MEDIA_VAL,CERO,B,C,ECO,Sin_distintivo,Se_desconoce,VEHICULO
10.0,62.0,2017.0,1.0,3.9642857142857144,3.0,14.0,532.0,30.0,7.0,51.0,1.0
11.0,9.0,2017.0,1.0,7.949166666666666,4.0,15.0,569.0,32.0,7.0,54.0,1.0
11.0,10.0,2017.0,1.0,14.854723199624676,4.0,15.0,569.0,32.0,7.0,54.0,1.0
11.0,17.0,2017.0,1.0,0.6499999999999999,4.0,15.0,569.0,32.0,7.0,54.0,1.0
11.0,27.0,2017.0,1.0,0.3,4.0,15.0,569.0,32.0,7.0,54.0,1.0
11.0,28.0,2017.0,1.0,0.240909090909091,4.0,15.0,569.0,32.0,7.0,54.0,1.0
11.0,62.0,2017.0,1.0,4.2727272727272725,4.0,15.0,569.0,32.0,7.0,54.0,1.0
12.0,9.0,2017.0,1.0,5.765975422427036,3.0,14.0,533.0,30.0,7.0,51.0,1.0
12.0,10.0,2017.0,1.0,9.86704959403116,3.0,14.0,533.0,30.0,7.0,51.0,1.0
12.0,17.0,2017.0,1.0,0.22352941176470592,3.0,14.0,533.0,30.0,7.0,51.0,1.0
12.0,27.0,2017.0,1.0,0.15,3.0,14.0,533.0,30.0,7.0,51.0,1.0
12.0,28.0,2017.0,1.0,0.20000000000000007,3.0,14.0,533.0,30.0,7.0,51.0,1.0
12.0,62.0,2017.0,1.0,2.823529411764706,3.0,14.0,533.0,30.0,7.0,51.0,1.0
1.0,9.0,2018.0,1.0,5.988687430478309,4.0,15.0,510.0,38.0,5.0,52.0,1.0
1.0,9.0,2018.0,1.0,5.988687430478309,0.0,0.0,38.0,0.0,0.0,1.0,2.0
1.0,10.0,2018.0,1.0,10.937167105131511,4.0,15.0,510.0,38.0,5.0,52.0,1.0
1.0,10.0,2018.0,1.0,10.937167105131511,0.0,0.0,38.0,0.0,0.0,1.0,2.0
1.0,17.0,2018.0,1.0,0.4244123315625,4.0,15.0,510.0,38.0,5.0,52.0,1.0
1.0,17.0,2018.0,1.0,0.4244123315625,0.0,0.0,38.0,0.0,0.0,1.0,2.0
1.0,19.0,2018.0,1.0,0.011236898937500002,4.0,15.0,510.0,38.0,5.0,52.0,1.0
