ANNO,MES,PROVINCIAS,CERO,ECO,B,C
2019,2,Granada,8,99,109,1537
2018,3,Granada,5,100,138,1502
2019,3,Granada,9,121,133,1874
2018,4,Granada,4,94,130,1413
2019,4,Granada,9,119,130,1834
2018,5,Granada,5,108,150,1631
2019,5,Granada,9,127,139,1959
2018,6,Granada,5,112,155,1693
2019,6,Granada,11,131,142,1995
2018,7,Granada,5,105,145,1582
2019,7,Granada,9,121,132,1866
2018,8,Granada,4,85,118,1284
2019,8,Granada,6,79,87,1225
2018,9,Granada,3,63,88,952
2019,9,Granada,7,86,95,1334
2018,1,Guadalajara,6,21,12,403
2019,1,Guadalajara,8,25,18,334
2018,10,Guadalajara,5,20,12,386
2019,10,Guadalajara,9,27,19,357
2018,11,Guadalajara,5,20,11,378
2019,11,Guadalajara,8,26,18,338
2018,12,Guadalajara,6,21,12,394
2019,12,Guadalajara,9,27,19,357
2018,2,Guadalajara,6,23,13,428
2019,2,Guadalajara,8,27,18,348
2018,3,Guadalajara,7,26,15,492
2019,3,Guadalajara,10,32,22,424
2018,4,Guadalajara,7,24,14,463
2019,4,Guadalajara,10,32,22,417
2018,5,Guadalajara,8,28,16,534
2019,5,Guadalajara,11,34,23,444
2018,6,Guadalajara,8,29,17,555
2019,6,Guadalajara,11,34,24,451
2018,7,Guadalajara,7,27,15,519
2019,7,Guadalajara,10,32,22,423
2018,8,Guadalajara,6,22,13,420
2019,8,Guadalajara,7,21,15,277
2018,9,Guadalajara,4,16,9,312
2019,9,Guadalajara,7,23,16,301
2018,1,Huelva,5,27,29,555
2019,1,Huelva,11,33,28,511
2018,10,Huelva,5,26,28,531
2019,10,Huelva,11,35,30,546
2018,11,Huelva,5,26,27,520
2019,11,Huelva,11,34,28,518
2018,12,Huelva,5,27,28,541
2019,12,Huelva,11,35,30,546
2018,2,Huelva,5,29,31,588
2019,2,Huelva,11,35,29,532
2018,3,Huelva,6,33,35,676
2019,3,Huelva,14,42,35,650
2018,4,Huelva,6,31,33,637
2019,4,Huelva,14,41,35,636
2018,5,Huelva,7,36,38,736
2019,5,Huelva,14,44,37,680
2018,6,Huelva,7,38,40,763
2019,6,Huelva,14,45,38,693
2018,7,Huelva,6,35,37,713
2019,7,Huelva,14,42,35,647
2018,8,Huelva,5,28,30,578
2019,8,Huelva,9,28,23,426
2018,9,Huelva,3,21,22,428
2019,9,Huelva,9,30,25,463
2018,1,Huesca,2,16,8,385
2019,1,Huesca,1,26,7,374
2018,10,Huesca,2,15,8,368
2019,10,Huesca,1,28,8,400
2018,11,Huesca,2,15,8,360
2019,11,Huesca,1,27,7,379
2018,12,Huesca,2,16,8,376
2019,12,Huesca,1,28,8,400
2018,2,Huesca,2,17,9,408
2019,2,Huesca,1,27,8,389
2018,3,Huesca,3,20,10,469
2019,3,Huesca,1,33,9,475
2018,4,Huesca,3,18,9,441
2019,4,Huesca,1,33,9,466
2018,5,Huesca,3,21,11,511
2019,5,Huesca,1,35,10,497
2018,6,Huesca,3,22,11,529
2019,6,Huesca,1,36,10,505
2018,7,Huesca,3,21,10,494
2019,7,Huesca,1,33,9,473
2018,8,Huesca,2,17,9,402
2019,8,Huesca,1,22,6,312
2018,9,Huesca,2,12,6,298
2019,9,Huesca,1,24,7,339
2018,1,Jaén,3,25,82,823
2019,1,Jaén,3,37,68,825
2018,10,Jaén,3,24,79,786
2019,10,Jaén,5,40,72,881
2018,11,Jaén,3,23,77,770
2019,11,Jaén,5,38,69,838
2018,12,Jaén,3,24,80,803
2019,12,Jaén,5,40,72,881
2018,2,Jaén,3,27,87,873
2019,2,Jaén,5,39,71,860
2018,3,Jaén,3,31,100,1003
2019,3,Jaén,6,48,86,1050
2018,4,Jaén,3,29,94,943
2019,4,Jaén,6,47,84,1028
2018,5,Jaén,3,33,109,1090
2019,5,Jaén,6,50,90,1098
2018,6,Jaén,4,34,113,1131
2019,6,Jaén,6,51,92,1118
2018,7,Jaén,3,32,106,1057
2019,7,Jaén,6,47,86,1046
2018,8,Jaén,3,26,86,857
2019,8,Jaén,3,31,56,688
2018,9,Jaén,1,19,64,635
2019,9,Jaén,3,34,61,746
2018,1,León,2,46,38,516
2019,1,León,6,52,26,545
2018,10,León,2,44,36,494
2019,10,León,6,55,28,584
2018,11,León,2,43,36,483
2019,11,León,6,53,26,555
2018,12,León,2,45,37,504
2019,12,León,6,55,28,584
2018,2,León,2,49,40,548
2019,2,León,6,54,27,571
2018,3,León,3,56,46,630
2019,3,León,8,66,33,696
2018,4,León,3,53,44,593
2019,4,León,8,64,32,681
2018,5,León,4,62,50,684
2019,5,León,9,69,35,728
2018,6,León,4,64,52,710
2019,6,León,9,70,35,741
2018,7,León,3,59,49,663
2019,7,León,8,66,33,692
2018,8,León,2,48,40,538
2019,8,León,5,43,22,456
2018,9,León,1,35,29,399
2019,9,León,5,47,24,494
2018,1,Lleida,3,38,24,663
2019,1,Lleida,4,52,18,715
2018,10,Lleida,3,37,23,634
2019,10,Lleida,4,55,19,766
2018,11,Lleida,3,36,22,620
2019,11,Lleida,4,52,18,728
2018,12,Lleida,3,37,23,646
2019,12,Lleida,4,55,19,766
2018,2,Lleida,4,41,25,703
2019,2,Lleida,4,54,19,747
2018,3,Lleida,4,47,29,808
2019,3,Lleida,5,66,23,911
2018,4,Lleida,4,44,27,761
2019,4,Lleida,5,64,22,892
2018,5,Lleida,4,51,31,879
2019,5,Lleida,5,69,24,953
2018,6,Lleida,5,53,32,912
2019,6,Lleida,5,70,24,971
2018,7,Lleida,4,49,30,852
2019,7,Lleida,5,65,22,908
2018,8,Lleida,4,40,25,691
2019,8,Lleida,3,43,15,596
2018,9,Lleida,3,30,18,512
2019,9,Lleida,3,47,16,648
2017,1,Lugo,1,13,16,398
2018,1,Lugo,2,26,18,478
2019,1,Lugo,2,30,18,430
2017,10,Lugo,1,15,19,476
2018,10,Lugo,2,25,18,457
2019,10,Lugo,2,32,19,459
2017,11,Lugo,1,16,20,510
2018,11,Lugo,2,25,17,447
2019,11,Lugo,2,30,18,436
2017,12,Lugo,1,15,19,477
2018,12,Lugo,2,26,18,466
2019,12,Lugo,2,32,19,459
2017,2,Lugo,1,14,18,448
2018,2,Lugo,2,28,19,507
2019,2,Lugo,2,31,19,449
2017,3,Lugo,1,19,23,583
2018,3,Lugo,3,32,23,583
2019,3,Lugo,2,38,23,547
2017,4,Lugo,1,15,19,479
2018,4,Lugo,2,30,22,548
2019,4,Lugo,2,37,22,535
2017,5,Lugo,1,19,24,597
2018,5,Lugo,3,35,25,633
2019,5,Lugo,3,39,24,572
2017,6,Lugo,1,20,25,621
2018,6,Lugo,3,36,26,658
2019,6,Lugo,3,40,24,583
2017,7,Lugo,1,17,21,537
2018,7,Lugo,3,34,25,614
2019,7,Lugo,2,38,23,545
2017,8,Lugo,0,12,15,367
2018,8,Lugo,2,27,19,498
2019,8,Lugo,2,25,15,357
2017,9,Lugo,1,13,17,422
2018,9,Lugo,2,20,14,370
2019,9,Lugo,2,27,16,389
2017,1,Madrid,211,1309,445,21432
2018,1,Madrid,575,2757,420,27323
2019,1,Madrid,1390,4055,268,25945
2017,10,Madrid,253,1566,532,25635
2018,10,Madrid,549,2634,401,26107
2019,10,Madrid,1487,4338,286,27757
2017,11,Madrid,271,1677,569,27450
2018,11,Madrid,539,2580,393,25571
2019,11,Madrid,1412,4120,272,26364
2017,12,Madrid,253,1570,533,25699
2018,12,Madrid,561,2688,409,26644
2019,12,Madrid,1487,4338,286,27757
2017,2,Madrid,238,1475,501,24138
2018,2,Madrid,610,2923,446,28968
2019,2,Madrid,1451,4235,280,27096
2017,3,Madrid,310,1918,651,31399
2018,3,Madrid,701,3359,511,33296
2019,3,Madrid,1770,5167,340,33050
2017,4,Madrid,254,1574,534,25762
2018,4,Madrid,660,3161,481,31328
2019,4,Madrid,1734,5058,333,32354
2017,5,Madrid,317,1965,667,32163
2018,5,Madrid,762,3651,556,36187
2019,5,Madrid,1851,5400,355,34549
2017,6,Madrid,330,2043,694,33437
2018,6,Madrid,790,3789,577,37551
2019,6,Madrid,1884,5498,362,35175
2017,7,Madrid,285,1767,600,28915
2018,7,Madrid,739,3539,540,35084
2019,7,Madrid,1763,5145,339,32911
2017,8,Madrid,195,1208,410,19776
2018,8,Madrid,599,2872,438,28467
2019,8,Madrid,1159,3381,222,21628
2017,9,Madrid,224,1389,472,22737
2018,9,Madrid,444,2129,324,21100
2019,9,Madrid,1259,3675,241,23508
2017,1,Melilla,0,5,12,79
2018,1,Melilla,0,6,18,130
2019,1,Melilla,1,9,22,161
2017,10,Melilla,0,6,14,94
2018,10,Melilla,0,6,18,125
2019,10,Melilla,1,9,24,172
2017,11,Melilla,0,6,15,101
2018,11,Melilla,0,6,17,122
2019,11,Melilla,1,9,23,163
2017,12,Melilla,0,6,14,94
2018,12,Melilla,0,6,18,126
2019,12,Melilla,1,9,24,172
2017,2,Melilla,0,5,13,88
2018,2,Melilla,0,7,19,138
2019,2,Melilla,1,9,23,167
2017,3,Melilla,0,7,17,115
2018,3,Melilla,1,8,22,158
2019,3,Melilla,1,11,28,204
2017,4,Melilla,0,6,14,94
2018,4,Melilla,1,7,21,149
2019,4,Melilla,1,11,28,200
2017,5,Melilla,0,7,17,118
2018,5,Melilla,1,9,24,172
2019,5,Melilla,1,12,30,215
2017,6,Melilla,0,7,18,123
2018,6,Melilla,1,9,25,179
2019,6,Melilla,1,12,30,217
2017,7,Melilla,0,6,16,106
2018,7,Melilla,1,8,24,167
2019,7,Melilla,1,11,28,203
2017,8,Melilla,0,4,11,72
2018,8,Melilla,0,7,19,135
2019,8,Melilla,1,7,19,135
2017,9,Melilla,0,5,12,83
2018,9,Melilla,0,5,14,101
2019,9,Melilla,1,8,20,145
2017,1,Murcia,4,82,199,1774
2018,1,Murcia,8,132,243,2373
2019,1,Murcia,11,189,253,2566
2017,10,Murcia,5,98,238,2121
2018,10,Murcia,7,126,232,2267
2019,10,Murcia,11,202,271,2744
2017,11,Murcia,5,105,255,2272
2018,11,Murcia,7,124,228,2220
2019,11,Murcia,11,192,257,2607
2017,12,Murcia,5,98,239,2127
2018,12,Murcia,7,129,237,2313
2019,12,Murcia,11,202,271,2744
2017,2,Murcia,4,92,224,1998
2018,2,Murcia,8,140,258,2516
2019,2,Murcia,11,197,264,2678
2017,3,Murcia,6,120,292,2599
2018,3,Murcia,9,162,296,2892
2019,3,Murcia,13,240,322,3268
2017,4,Murcia,5,98,239,2132
2018,4,Murcia,9,153,279,2720
2019,4,Murcia,13,235,315,3199
2017,5,Murcia,6,123,299,2662
2018,5,Murcia,10,176,321,3142
2019,5,Murcia,13,251,337,3415
2017,6,Murcia,6,128,311,2767
2018,6,Murcia,11,183,333,3261
2019,6,Murcia,13,256,343,3477
2017,7,Murcia,5,110,269,2393
2018,7,Murcia,10,171,312,3046
2019,7,Murcia,13,239,321,3254
2017,8,Murcia,4,76,184,1637
2018,8,Murcia,8,138,253,2472
2019,8,Murcia,8,157,212,2138
2017,9,Murcia,4,87,211,1882
2018,9,Murcia,6,102,187,1832
2019,9,Murcia,10,171,230,2323
2017,1,Málaga,7,125,142,2318
2018,1,Málaga,16,207,216,3468
2019,1,Málaga,29,207,179,3877
2017,10,Málaga,9,149,170,2773
2018,10,Málaga,15,198,207,3313
2019,10,Málaga,32,222,191,4147
2017,11,Málaga,9,160,182,2969
2018,11,Málaga,15,194,202,3246
2019,11,Málaga,29,211,181,3938
2017,12,Málaga,9,149,171,2780
2018,12,Málaga,15,202,211,3382
2019,12,Málaga,32,222,191,4147
2017,2,Málaga,8,140,160,2611
2018,2,Málaga,16,219,229,3677
2019,2,Málaga,31,216,186,4048
2017,3,Málaga,11,183,208,3396
2018,3,Málaga,19,252,263,4226
2019,3,Málaga,38,264,229,4938
2017,4,Málaga,9,150,171,2787
2018,4,Málaga,18,237,247,3977
2019,4,Málaga,36,258,225,4834
2017,5,Málaga,11,187,214,3479
2018,5,Málaga,21,274,286,4592
2019,5,Málaga,38,276,240,5161
2017,6,Málaga,11,194,222,3617
2018,6,Málaga,22,284,297,4766
2019,6,Málaga,39,281,244,5255
2017,7,Málaga,10,168,192,3128
2018,7,Málaga,20,266,278,4453
2019,7,Málaga,38,263,228,4918
2017,8,Málaga,7,115,131,2139
2018,8,Málaga,16,215,225,3613
2019,8,Málaga,25,173,149,3231
2017,9,Málaga,8,132,151,2460
2018,9,Málaga,12,160,166,2678
2019,9,Málaga,26,188,162,3512
2017,1,Navarra,3,35,60,759
2018,1,Navarra,6,57,75,979
2019,1,Navarra,9,67,44,1034
2017,10,Navarra,4,42,72,908
2018,10,Navarra,5,54,72,936
2019,10,Navarra,10,71,48,1108
2017,11,Navarra,4,44,77,972
2018,11,Navarra,5,53,70,916
2019,11,Navarra,9,68,45,1051
2017,12,Navarra,4,42,72,910
2018,12,Navarra,5,55,73,955
2019,12,Navarra,10,71,48,1108
2017,2,Navarra,3,39,68,855
2018,2,Navarra,6,60,80,1038
2019,2,Navarra,10,70,46,1081
2017,3,Navarra,4,51,88,1112
2018,3,Navarra,7,69,92,1193
2019,3,Navarra,11,85,57,1317
2017,4,Navarra,4,42,73,912
2018,4,Navarra,6,65,86,1123
2019,4,Navarra,11,83,55,1291
2017,5,Navarra,5,52,91,1139
2018,5,Navarra,7,75,100,1297
2019,5,Navarra,12,89,59,1377
2017,6,Navarra,5,54,94,1184
2018,6,Navarra,8,78,103,1346
2019,6,Navarra,12,90,60,1403
2017,7,Navarra,4,47,81,1024
2018,7,Navarra,7,73,97,1258
2019,7,Navarra,11,85,56,1313
2017,8,Navarra,3,32,56,700
2018,8,Navarra,6,59,78,1021
2019,8,Navarra,8,56,37,862
2017,9,Navarra,3,37,64,805
2018,9,Navarra,4,44,58,756
2019,9,Navarra,9,60,40,938
2017,1,Ourense,1,21,37,327
2018,1,Ourense,1,30,42,388
2019,1,Ourense,2,38,32,368
2017,10,Ourense,1,25,45,391
2018,10,Ourense,1,29,40,371
2019,10,Ourense,2,40,34,394
2017,11,Ourense,1,27,48,419
2018,11,Ourense,1,28,39,363
2019,11,Ourense,2,38,32,375
2017,12,Ourense,1,25,45,392
2018,12,Ourense,1,29,41,379
2019,12,Ourense,2,40,34,394
2017,2,Ourense,1,24,42,368
2018,2,Ourense,1,32,44,411
2019,2,Ourense,2,40,33,384
2017,3,Ourense,1,31,55,479
2018,3,Ourense,2,37,52,473
2019,3,Ourense,3,48,40,470
2017,4,Ourense,1,25,45,393
2018,4,Ourense,2,35,49,445
2019,4,Ourense,3,47,40,459
2017,5,Ourense,1,32,56,491
2018,5,Ourense,2,40,56,514
2019,5,Ourense,3,50,42,490
2017,6,Ourense,1,33,58,510
2018,6,Ourense,2,41,58,533
2019,6,Ourense,3,51,43,498
2017,7,Ourense,1,29,50,441
2018,7,Ourense,2,39,55,498
2019,7,Ourense,3,48,40,466
2017,8,Ourense,0,20,34,302
2018,8,Ourense,1,31,43,404
2019,8,Ourense,2,32,26,306
2017,9,Ourense,1,22,40,347
2018,9,Ourense,1,23,32,300
2019,9,Ourense,2,34,29,333
2017,1,Palencia,0,0,5,129
2018,1,Palencia,0,2,4,129
2019,1,Palencia,1,3,3,122
2017,10,Palencia,1,0,6,154
2018,10,Palencia,0,2,4,123
2019,10,Palencia,1,3,3,131
2017,11,Palencia,1,1,7,165
2018,11,Palencia,0,2,4,121
2019,11,Palencia,1,3,3,123
2017,12,Palencia,1,0,6,155
2018,12,Palencia,0,2,4,126
2019,12,Palencia,1,3,3,131
2017,2,Palencia,1,0,6,145
2018,2,Palencia,0,2,4,136
2019,2,Palencia,1,3,3,126
2017,3,Palencia,1,1,7,189
2018,3,Palencia,1,2,5,157
2019,3,Palencia,1,3,4,156
2017,4,Palencia,1,0,6,155
2018,4,Palencia,1,2,4,148
2019,4,Palencia,1,3,4,151
2017,5,Palencia,1,1,8,194
2018,5,Palencia,1,2,5,171
2019,5,Palencia,1,4,4,162
2017,6,Palencia,1,1,8,201
2018,6,Palencia,1,2,5,177
2019,6,Palencia,3,4,4,165
2017,7,Palencia,1,1,7,174
2018,7,Palencia,1,2,5,166
2019,7,Palencia,1,3,4,156
2017,8,Palencia,0,0,5,119
2018,8,Palencia,0,2,4,134
2019,8,Palencia,0,2,2,103
2017,9,Palencia,0,0,5,137
2018,9,Palencia,0,1,3,100
2019,9,Palencia,1,2,3,110
2017,1,Las Palmas,9,38,22,2597
2018,1,Las Palmas,21,99,26,3236
2019,1,Las Palmas,63,146,18,3050
2017,10,Las Palmas,11,45,27,3106
2018,10,Las Palmas,21,95,25,3092
2019,10,Las Palmas,67,157,19,3263
2017,11,Las Palmas,12,48,29,3326
2018,11,Las Palmas,20,93,24,3028
2019,11,Las Palmas,65,149,18,3098
2017,12,Las Palmas,11,45,27,3113
2018,12,Las Palmas,21,97,25,3155
2019,12,Las Palmas,67,157,19,3263
2017,2,Las Palmas,10,42,25,2924
2018,2,Las Palmas,23,105,28,3430
2019,2,Las Palmas,66,153,19,3185
2017,3,Las Palmas,13,55,33,3804
2018,3,Las Palmas,27,121,32,3943
2019,3,Las Palmas,81,187,23,3885
2017,4,Las Palmas,11,45,27,3121
2018,4,Las Palmas,25,114,30,3710
2019,4,Las Palmas,78,183,23,3803
2017,5,Las Palmas,14,57,34,3897
2018,5,Las Palmas,29,132,34,4285
2019,5,Las Palmas,85,195,24,4061
2017,6,Las Palmas,14,59,35,4051
2018,6,Las Palmas,29,137,35,4447
2019,6,Las Palmas,86,199,25,4134
2017,7,Las Palmas,12,51,30,3503
2018,7,Las Palmas,28,128,33,4155
2019,7,Las Palmas,81,186,23,3869
2017,8,Las Palmas,8,35,21,2396
2018,8,Las Palmas,23,104,27,3371
2019,8,Las Palmas,54,122,15,2543
2017,9,Las Palmas,10,40,24,2755
2018,9,Las Palmas,17,77,19,2499
2019,9,Las Palmas,58,133,16,2762
2017,1,Pontevedra,3,11,58,824
2018,1,Pontevedra,7,26,83,1135
2019,1,Pontevedra,8,38,67,1201
2017,10,Pontevedra,4,13,69,986
2018,10,Pontevedra,7,25,79,1084
2019,10,Pontevedra,8,41,72,1285
2017,11,Pontevedra,4,14,74,1056
2018,11,Pontevedra,7,25,77,1062
2019,11,Pontevedra,8,39,68,1221
2017,12,Pontevedra,4,13,69,989
2018,12,Pontevedra,7,26,81,1107
2019,12,Pontevedra,8,41,72,1285
2017,2,Pontevedra,4,12,65,929
2018,2,Pontevedra,9,28,88,1204
2019,2,Pontevedra,8,40,70,1255
2017,3,Pontevedra,5,16,85,1208
2018,3,Pontevedra,10,32,101,1383
2019,3,Pontevedra,9,48,86,1530
2017,4,Pontevedra,4,13,70,991
2018,4,Pontevedra,9,30,95,1301
2019,4,Pontevedra,9,47,84,1499
2017,5,Pontevedra,5,16,87,1237
2018,5,Pontevedra,10,35,109,1504
2019,5,Pontevedra,10,50,90,1600
2017,6,Pontevedra,5,17,90,1286
2018,6,Pontevedra,11,36,114,1560
2019,6,Pontevedra,10,51,91,1629
2017,7,Pontevedra,4,15,78,1112
2018,7,Pontevedra,10,34,106,1457
2019,7,Pontevedra,9,48,85,1524
2017,8,Pontevedra,3,10,53,761
2018,8,Pontevedra,8,27,86,1183
2019,8,Pontevedra,7,32,56,1001
2017,9,Pontevedra,3,12,61,875
2018,9,Pontevedra,6,20,64,877
2019,9,Pontevedra,7,34,61,1089
2017,1,La Rioja,1,27,18,381
2018,1,La Rioja,1,39,25,463
2019,1,La Rioja,2,43,16,439
2017,10,La Rioja,1,33,22,456
2018,10,La Rioja,1,38,24,443
2019,10,La Rioja,2,46,17,470
2017,11,La Rioja,1,35,24,488
2018,11,La Rioja,1,37,23,434
2019,11,La Rioja,2,44,16,445
2017,12,La Rioja,1,33,22,457
2018,12,La Rioja,1,38,24,451
2019,12,La Rioja,2,46,17,470
2017,2,La Rioja,1,31,21,429
2018,2,La Rioja,1,42,27,491
2019,2,La Rioja,2,45,17,459
2017,3,La Rioja,2,40,27,558
2018,3,La Rioja,1,48,31,565
2019,3,La Rioja,2,55,20,558
2017,4,La Rioja,1,33,22,458
2018,4,La Rioja,1,45,29,531
2019,4,La Rioja,2,54,20,546
2017,5,La Rioja,2,41,28,572
2018,5,La Rioja,1,52,33,613
2019,5,La Rioja,2,58,21,584
2017,6,La Rioja,2,43,29,595
2018,6,La Rioja,1,54,34,636
2019,6,La Rioja,2,59,22,594
2017,7,La Rioja,2,37,25,514
2018,7,La Rioja,1,51,32,594
2019,7,La Rioja,2,55,20,556
2017,8,La Rioja,1,25,17,352
2018,8,La Rioja,1,41,26,482
2019,8,La Rioja,1,36,13,366
2017,9,La Rioja,1,29,19,404
2018,9,La Rioja,1,30,19,358
2019,9,La Rioja,2,39,14,398
2017,1,Salamanca,1,117,10,450
2018,1,Salamanca,2,180,18,549
2019,1,Salamanca,2,177,13,509
2017,10,Salamanca,1,139,12,538
2018,10,Salamanca,2,172,17,524
2019,10,Salamanca,2,190,14,544
2017,11,Salamanca,1,149,12,576
2018,11,Salamanca,2,169,17,514
2019,11,Salamanca,2,180,13,516
2017,12,Salamanca,1,140,12,539
2018,12,Salamanca,2,176,18,535
2019,12,Salamanca,2,190,14,544
2017,2,Salamanca,1,131,11,507
2018,2,Salamanca,2,191,19,582
2019,2,Salamanca,2,185,13,533
2017,3,Salamanca,2,171,14,659
2018,3,Salamanca,2,219,22,668
2019,3,Salamanca,3,226,16,649
2017,4,Salamanca,1,140,12,541
2018,4,Salamanca,2,206,21,629
2019,4,Salamanca,3,221,16,635
2017,5,Salamanca,2,175,15,675
2018,5,Salamanca,2,239,24,727
2019,5,Salamanca,3,236,17,678
2017,6,Salamanca,2,182,15,702
2018,6,Salamanca,3,247,25,754
2019,6,Salamanca,3,240,17,690
2017,7,Salamanca,2,157,13,607
2018,7,Salamanca,2,231,23,705
2019,7,Salamanca,3,225,16,646
2017,8,Salamanca,1,108,9,415
2018,8,Salamanca,2,188,19,571
2019,8,Salamanca,2,148,11,425
2017,9,Salamanca,1,124,10,477
2018,9,Salamanca,1,139,14,424
2019,9,Salamanca,2,161,11,460
2017,1,Santa Cruz de Tenerife,6,24,40,1421
2018,1,Santa Cruz de Tenerife,9,47,47,2011
2019,1,Santa Cruz de Tenerife,19,67,36,2308
2017,10,Santa Cruz de Tenerife,7,28,48,1700
2018,10,Santa Cruz de Tenerife,8,45,45,1922
2019,10,Santa Cruz de Tenerife,20,72,38,2469
2017,11,Santa Cruz de Tenerife,8,30,52,1820
2018,11,Santa Cruz de Tenerife,8,44,44,1882
2019,11,Santa Cruz de Tenerife,19,68,36,2344
2017,12,Santa Cruz de Tenerife,7,28,49,1704
2018,12,Santa Cruz de Tenerife,9,46,46,1961
2019,12,Santa Cruz de Tenerife,20,72,38,2469
2017,2,Santa Cruz de Tenerife,7,27,46,1600
2018,2,Santa Cruz de Tenerife,9,50,51,2132
2019,2,Santa Cruz de Tenerife,19,70,37,2410
2017,3,Santa Cruz de Tenerife,9,35,59,2082
2018,3,Santa Cruz de Tenerife,10,57,58,2450
2019,3,Santa Cruz de Tenerife,25,86,47,2939
2017,4,Santa Cruz de Tenerife,7,28,49,1708
2018,4,Santa Cruz de Tenerife,10,54,55,2305
2019,4,Santa Cruz de Tenerife,24,84,44,2877
2017,5,Santa Cruz de Tenerife,9,35,61,2133
2018,5,Santa Cruz de Tenerife,11,62,63,2663
2019,5,Santa Cruz de Tenerife,26,90,49,3073
2017,6,Santa Cruz de Tenerife,10,37,63,2217
2018,6,Santa Cruz de Tenerife,12,64,65,2763
2019,6,Santa Cruz de Tenerife,26,91,50,3128
2017,7,Santa Cruz de Tenerife,8,32,55,1917
2018,7,Santa Cruz de Tenerife,11,60,61,2582
2019,7,Santa Cruz de Tenerife,25,85,47,2926
2017,8,Santa Cruz de Tenerife,6,22,37,1311
2018,8,Santa Cruz de Tenerife,9,49,50,2095
2019,8,Santa Cruz de Tenerife,16,56,30,1923
2017,9,Santa Cruz de Tenerife,6,25,43,1508
2018,9,Santa Cruz de Tenerife,7,36,37,1553
2019,9,Santa Cruz de Tenerife,17,61,33,2091
2017,1,Segovia,1,8,3,98
2018,1,Segovia,1,12,4,132
2019,1,Segovia,1,22,4,140
2017,10,Segovia,1,10,4,117
2018,10,Segovia,1,12,3,126
2019,10,Segovia,1,23,4,150
2017,11,Segovia,1,10,4,125
2018,11,Segovia,1,11,3,124
2019,11,Segovia,1,22,4,142
2017,12,Segovia,1,10,4,117
2018,12,Segovia,1,12,3,129
2019,12,Segovia,1,23,4,150
2017,2,Segovia,1,9,4,110
2018,2,Segovia,1,13,4,140
2019,2,Segovia,1,23,4,147
2017,3,Segovia,1,12,5,143
2018,3,Segovia,1,15,4,161
2019,3,Segovia,2,28,4,179
2017,4,Segovia,1,10,4,117
2018,4,Segovia,1,14,4,152
2019,4,Segovia,1,27,4,174
2017,5,Segovia,1,12,5,146
2018,5,Segovia,1,16,5,175
2019,5,Segovia,2,29,5,186
2017,6,Segovia,1,13,5,152
2018,6,Segovia,1,17,5,182
2019,6,Segovia,2,30,5,191
2017,7,Segovia,1,11,4,132
2018,7,Segovia,1,16,5,170
2019,7,Segovia,2,28,4,177
2017,8,Segovia,0,7,3,90
2018,8,Segovia,1,13,4,138
2019,8,Segovia,1,18,3,117
2017,9,Segovia,1,9,3,104
2018,9,Segovia,1,9,3,102
2019,9,Segovia,1,20,3,127
2017,1,Sevilla,4,115,32,2238
2018,1,Sevilla,11,193,37,3124
2019,1,Sevilla,11,248,43,3385
2017,10,Sevilla,5,138,38,2676
2018,10,Sevilla,10,185,36,2985
2019,10,Sevilla,14,265,46,3623
2017,11,Sevilla,6,147,41,2866
2018,11,Sevilla,10,181,35,2924
2019,11,Sevilla,13,252,43,3440
2017,12,Sevilla,5,138,38,2683
2018,12,Sevilla,10,189,36,3047
2019,12,Sevilla,14,265,46,3623
2017,2,Sevilla,5,130,36,2520
2018,2,Sevilla,11,205,40,3312
2019,2,Sevilla,13,259,45,3536
2017,3,Sevilla,6,169,47,3278
2018,3,Sevilla,13,236,45,3807
2019,3,Sevilla,16,318,54,4312
2017,4,Sevilla,5,138,38,2690
2018,4,Sevilla,12,222,43,3582
2019,4,Sevilla,15,311,53,4222
2017,5,Sevilla,7,173,48,3358
2018,5,Sevilla,14,257,50,4138
2019,5,Sevilla,16,332,57,4508
2017,6,Sevilla,7,180,50,3491
2018,6,Sevilla,15,267,52,4294
2019,6,Sevilla,16,338,58,4590
2017,7,Sevilla,6,155,43,3019
2018,7,Sevilla,14,248,48,4011
2019,7,Sevilla,16,317,54,4295
2017,8,Sevilla,4,106,29,2065
2018,8,Sevilla,11,202,39,3255
2019,8,Sevilla,10,207,36,2822
2017,9,Sevilla,5,122,34,2374
2018,9,Sevilla,9,149,29,2413
2019,9,Sevilla,10,225,39,3068
2017,1,Soria,0,5,1,87
2018,1,Soria,0,6,2,111
2019,1,Soria,1,8,2,102
2017,10,Soria,0,6,2,104
2018,10,Soria,0,6,2,106
2019,10,Soria,1,9,2,110
2017,11,Soria,0,6,2,112
2018,11,Soria,0,6,2,104
2019,11,Soria,1,8,2,104
2017,12,Soria,0,6,2,104
2018,12,Soria,0,6,2,108
2019,12,Soria,1,9,2,110
2017,2,Soria,0,5,2,98
2018,2,Soria,0,7,2,118
2019,2,Soria,1,8,2,108
2017,3,Soria,0,7,2,128
2018,3,Soria,1,8,2,136
2019,3,Soria,1,10,2,130
2017,4,Soria,0,6,2,105
2018,4,Soria,1,7,2,128
2019,4,Soria,1,10,2,128
2017,5,Soria,0,7,2,131
2018,5,Soria,1,8,2,148
2019,5,Soria,1,11,3,137
2017,6,Soria,0,7,2,136
2018,6,Soria,1,9,2,153
2019,6,Soria,1,11,3,140
2017,7,Soria,0,6,2,117
2018,7,Soria,1,8,2,143
2019,7,Soria,1,10,2,130
