PUNTO_MUESTREO,MES,MAGNITUD,ANO,PROVINCIA,MEDIA_MAGS,LONGITUD,LATITUD
28079004,09,12,2020,28,44.12903225806452,-3.7122567,40.4238823
28079004,10,12,2020,28,62.70967741935484,-3.7122567,40.4238823
28079004,11,12,2020,28,123.80645161290323,-3.7122567,40.4238823
28079004,12,12,2020,28,67.12903225806451,-3.7122567,40.4238823
28079004,01,6,2020,28,0.3225806451612903,-3.7122567,40.4238823
28079004,02,6,2020,28,0.27741935483870966,-3.7122567,40.4238823
28079004,03,6,2020,28,0.0064516129032258064,-3.7122567,40.4238823
28079004,04,6,2020,28,0.0064516129032258064,-3.7122567,40.4238823
28079004,05,6,2020,28,0.09677419354838712,-3.7122567,40.4238823
28079004,06,6,2020,28,0.09677419354838712,-3.7122567,40.4238823
28079004,07,6,2020,28,0.10322580645161293,-3.7122567,40.4238823
28079004,08,6,2020,28,0.10645161290322584,-3.7122567,40.4238823
28079004,09,6,2020,28,0.12903225806451613,-3.7122567,40.4238823
28079004,10,6,2020,28,0.267741935483871,-3.7122567,40.4238823
28079004,11,6,2020,28,0.40967741935483876,-3.7122567,40.4238823
28079004,12,6,2020,28,0.3387096774193549,-3.7122567,40.4238823
28079004,01,7,2020,28,43.935483870967744,-3.7122567,40.4238823
28079004,02,7,2020,28,33.41935483870968,-3.7122567,40.4238823
28079004,03,7,2020,28,0.6129032258064516,-3.7122567,40.4238823
28079004,04,7,2020,28,0.3548387096774194,-3.7122567,40.4238823
28079004,05,7,2020,28,11.67741935483871,-3.7122567,40.4238823
28079004,06,7,2020,28,7.741935483870968,-3.7122567,40.4238823
28079004,07,7,2020,28,7.129032258064516,-3.7122567,40.4238823
28079004,08,7,2020,28,6.645161290322581,-3.7122567,40.4238823
28079004,09,7,2020,28,10.258064516129032,-3.7122567,40.4238823
28079004,10,7,2020,28,20.161290322580644,-3.7122567,40.4238823
28079004,11,7,2020,28,34.645161290322584,-3.7122567,40.4238823
28079004,12,7,2020,28,23.774193548387096,-3.7122567,40.4238823
28079004,01,8,2020,28,40.516129032258064,-3.7122567,40.4238823
28079004,02,8,2020,28,39.45161290322581,-3.7122567,40.4238823
28079004,03,8,2020,28,1.4838709677419355,-3.7122567,40.4238823
28079004,04,8,2020,28,0.5806451612903226,-3.7122567,40.4238823
28079004,05,8,2020,28,18.225806451612904,-3.7122567,40.4238823
28079004,06,8,2020,28,18.64516129032258,-3.7122567,40.4238823
28079004,07,8,2020,28,23.70967741935484,-3.7122567,40.4238823
28079004,08,8,2020,28,22.258064516129032,-3.7122567,40.4238823
28079004,09,8,2020,28,28.419354838709676,-3.7122567,40.4238823
28079004,10,8,2020,28,31.838709677419356,-3.7122567,40.4238823
28079004,11,8,2020,28,40.38709677419355,-3.7122567,40.4238823
28079004,12,8,2020,28,31.774193548387096,-3.7122567,40.4238823
28079004,01,1,2021,28,4.032258064516129,-3.7122567,40.4238823
28079004,02,1,2021,28,8.612903225806452,-3.7122567,40.4238823
28079004,03,1,2021,28,9.35483870967742,-3.7122567,40.4238823
28079004,04,1,2021,28,10.0,-3.7122567,40.4238823
28079004,05,1,2021,28,9.903225806451612,-3.7122567,40.4238823
28079004,06,1,2021,28,9.516129032258064,-3.7122567,40.4238823
28079004,01,12,2021,28,259.3225806451613,-3.7122567,40.4238823
28079004,02,12,2021,28,58.32258064516129,-3.7122567,40.4238823
28079004,03,12,2021,28,52.38709677419355,-3.7122567,40.4238823
28079004,04,12,2021,28,33.03225806451613,-3.7122567,40.4238823
28079004,05,12,2021,28,30.096774193548388,-3.7122567,40.4238823
28079004,06,12,2021,28,26.93548387096774,-3.7122567,40.4238823
28079004,01,6,2021,28,0.41935483870967744,-3.7122567,40.4238823
28079004,02,6,2021,28,0.27741935483870966,-3.7122567,40.4238823
28079004,03,6,2021,28,0.31612903225806466,-3.7122567,40.4238823
28079004,04,6,2021,28,0.25806451612903225,-3.7122567,40.4238823
28079004,05,6,2021,28,0.21612903225806457,-3.7122567,40.4238823
28079004,06,6,2021,28,0.19032258064516136,-3.7122567,40.4238823
28079004,01,7,2021,28,203.80645161290323,-3.7122567,40.4238823
28079004,02,7,2021,28,18.387096774193548,-3.7122567,40.4238823
28079004,03,7,2021,28,13.806451612903226,-3.7122567,40.4238823
28079004,04,7,2021,28,6.451612903225806,-3.7122567,40.4238823
28079004,05,7,2021,28,5.967741935483871,-3.7122567,40.4238823
28079004,06,7,2021,28,4.0,-3.7122567,40.4238823
28079004,01,8,2021,28,43.45161290322581,-3.7122567,40.4238823
28079004,02,8,2021,28,30.129032258064516,-3.7122567,40.4238823
28079004,03,8,2021,28,31.387096774193548,-3.7122567,40.4238823
28079004,04,8,2021,28,23.129032258064516,-3.7122567,40.4238823
28079004,05,8,2021,28,20.870967741935484,-3.7122567,40.4238823
28079004,06,8,2021,28,20.870967741935484,-3.7122567,40.4238823
